Time,CPU_Price,CPU_Utilization,Memory_Price,Memory_Utilization,Storage_Price,Storage_Utilization,Network_Price,Network_Utilization
0,10.0,0.0,5.0,0.0,2.0,0.0,8.0,0.0
1,13.39015815194918,86.0,6.429046766655166,81.0,2.2894284851066637,66.66666666666667,12.0,100.0
2,17.929633533421107,86.0,8.266528465567848,81.0,2.620741394208897,66.66666666666667,18.0,100.0
3,24.008062861900004,86.0,10.629179620604372,81.0,3.0000000000000004,66.66666666666667,27.0,100.0
4,32.14717586427787,86.0,13.667098574408703,81.0,3.4341427276599963,66.66666666666667,40.5,100.0
5,43.04557689612043,86.0,17.57328317987194,81.0,3.9311120913133455,66.66666666666667,60.75,100.0
6,57.63870823809423,86.0,22.59589188141426,81.0,4.500000000000002,66.66666666666667,91.125,100.0
7,77.1791418982138,86.0,29.054009127979217,81.0,5.151214091489996,66.66666666666667,136.6875,100.0
8,103.34409160488103,86.0,37.357916688520895,81.0,5.896668136970022,66.66666666666667,205.03125,100.0
9,138.37937306588807,86.0,48.03515869906167,81.0,6.750000000000006,66.66666666666667,307.546875,100.0
10,185.29216903198184,86.0,61.76405634399404,81.0,7.726821137234999,66.66666666666667,461.3203125,100.0
11,244.9107517851458,70.0,78.39303360053677,65.0,8.755796596920888,54.16666666666667,657.7826728560592,37.5
12,319.53888642765645,70.0,98.2164450670013,65.0,9.821734438980886,54.16666666666667,891.5606116988613,37.5
13,411.5329970440737,70.0,121.46636376700806,65.0,10.906324854319289,54.16666666666667,1148.7034103270673,37.5
14,523.1794637497104,70.0,148.28353473125443,65.0,11.988542572174008,54.16666666666667,1406.8686105481038,37.5
15,656.5409110245425,70.0,178.68780303023823,65.0,13.045239860248568,54.16666666666667,1637.901430069392,37.5
16,806.707608544968,60.0,205.76649852203738,25.0,13.957274244509277,45.833333333333336,1794.3546950544155,25.0
17,970.5407330091034,60.0,226.4290813071646,25.0,14.682906030729848,45.833333333333336,1849.7589606292693,25.0
18,1143.2853430043544,60.0,238.1044546535892,25.0,15.187500000000028,45.833333333333336,1794.3546950544155,25.0
19,1318.6779947765128,60.0,239.26579423992348,25.0,15.446263054697383,45.833333333333336,1637.9014300693923,25.0
20,1489.2449522552458,60.0,229.75844846245369,25.0,15.446263054697383,45.833333333333336,1406.8686105481038,25.0
21,1615.0441111194784,19.999999999999996,211.86208305699535,15.000000000000002,15.290480923346072,41.666666666666664,1191.3959618041963,19.999999999999996
22,1681.8742229740528,19.999999999999996,187.59698760885257,15.000000000000002,14.983614202259675,41.666666666666664,994.7077770606043,19.999999999999996
23,1681.8742229740528,19.999999999999996,159.5105294932823,15.000000000000002,14.53482267957894,41.666666666666664,818.788452501957,19.999999999999996
24,1615.0441111194787,19.999999999999996,130.2398019532362,15.000000000000002,13.957274244509282,41.666666666666664,664.4842793821837,19.999999999999996
25,1489.2449522552458,19.999999999999996,102.11486598331273,15.000000000000002,13.26750330818257,41.666666666666664,531.6606503864936,19.999999999999996
26,1308.027678144485,0.0,78.45663066312906,0.0,12.151673678800034,0.0,416.8499586809197,0.0
27,1094.300959112997,0.0,59.069836937116776,0.0,10.723616977026797,0.0,320.2730859531659,0.0
28,872.0184520963231,0.0,43.581013691968906,0.0,9.118109218551103,0.0,241.13295208701197,0.0
29,661.8866454467757,0.0,31.50825273941378,0.0,7.470102957977188,0.0,177.90498554577337,0.0
30,478.5315884798453,0.0,22.322701415576013,0.0,5.896668136970031,0.0,128.62195651981722,0.0
31,340.4034505964146,0.0,15.623791774772206,0.0,4.500000000000011,0.0,91.4952301495805,0.0
32,238.2504040403169,0.0,10.802975633912483,0.0,3.3200457591009727,0.0,64.0380569371612,0.0
33,164.07019244004536,0.0,7.379341568102904,0.0,2.3681071747504228,0.0,44.09955302064739,0.0
34,111.16858524969004,0.0,4.979767789589962,0.0,1.6329931618554558,0.0,29.88041183190868,0.0
35,74.11239016646002,0.0,3.3198451930599746,0.0,1.0886621079036372,0.0,19.920274554605786,0.0
36,49.408260110973345,0.0,2.2132301287066496,0.0,1.0,0.0,13.280183036403857,0.0
37,32.93884007398223,0.0,1.4754867524710997,0.0,1.0,0.0,8.85345535760257,0.0
38,21.95922671598815,0.0,1.0,0.0,1.0,0.0,5.902303571735047,0.0
39,15.519685807426374,72.0,1.0,34.0,1.0,70.83333333333333,4.054721564563262,37.0
40,11.845017584262205,94.8,1.0,86.8,1.0,89.16666666666666,3.0195532406862022,99.5
41,9.762822591797907,94.8,1.0,86.8,1.0,89.16666666666666,2.4376228187861857,99.5
42,8.689644067219087,94.8,1.0,86.8,1.0,89.16666666666666,2.1332044573322637,99.5
43,8.35248070361945,94.8,1.0,86.8,1.0,89.16666666666666,2.0236743115129223,99.5
44,8.669935704797403,94.8,1.0,86.8,1.01360725089342,89.16666666666666,2.081090255428965,99.5
45,9.718588087009914,94.8,1.0454411776031876,86.8,1.1044405879015238,89.16666666666666,2.3199753639287537,99.5
46,11.764605716096726,94.8,1.1726506444175988,86.8,1.29365344537037,89.16666666666666,2.803612522217902,99.5
47,15.379367705580231,94.8,1.4112603294944275,86.8,1.6289077205298554,89.16666666666666,3.672778771862369,99.5
48,21.711332943880635,94.8,1.82227980992116,86.8,2.2048444469532544,89.16666666666666,5.2157132739361725,99.5
49,31.22225421141112,94.8,2.455942700426971,86.8,3.029117416767437,89.16666666666666,7.791912288385225,99.5
50,44.43591090322721,82.0,3.2757704468536604,74.0,4.127931062310833,79.16666666666666,11.178030124991645,49.5
51,62.588707470528504,82.0,4.324150039449964,74.0,5.579906714258293,79.16666666666666,15.398462877283684,49.5
52,87.24688745265208,82.0,5.649111056601514,74.0,7.481688386059345,79.16666666666666,20.36949861146277,49.5
53,120.36382083876308,82.0,7.303844768786391,74.0,9.9506274811369,79.16666666666666,25.87463201011174,49.5
54,164.3365072976937,82.0,9.345768517530882,74.0,13.127423466333171,79.16666666666666,31.561591820763017,49.5
55,220.2634199448385,72.0,11.457325948200761,34.0,17.062860593328395,70.83333333333333,36.59588114619871,37.0
56,289.81505513913476,72.0,13.457248746111576,34.0,21.850808482462742,70.83333333333333,40.33611909567856,37.0
57,374.34302450156173,72.0,15.143771731318992,34.0,27.56934823330405,70.83333333333333,42.261470600728245,37.0
58,474.66672309502405,72.0,16.327383452343057,34.0,34.27116028039929,70.83333333333333,42.09046200764181,37.0
59,571.9930677073006,31.999999999999996,16.729465587704208,24.0,41.83184411795164,66.66666666666667,39.68720004515857,31.999999999999996
60,661.8866454467759,31.999999999999996,16.46032544313232,24.0,50.54555055634742,66.66666666666667,36.89385475038723,31.999999999999996
61,735.4740364985579,31.999999999999996,15.551978288769565,24.0,60.45838902503763,66.66666666666667,33.81383373999998,31.999999999999996
62,784.7691956245654,31.999999999999996,14.109893609101544,24.0,71.58597241202176,66.66666666666667,30.55424791719415,31.999999999999996
63,804.09511363607,31.999999999999996,12.292853643955072,24.0,83.90677038301236,66.66666666666667,27.219841333535573,31.999999999999996
64,770.8926980820538,0.0,10.0860281658197,0.0,92.2327092092799,0.0,23.29520549505123,0.0
65,697.1452935766495,0.0,8.050325425234867,0.0,95.72528419392232,0.0,19.347138881836496,0.0
66,594.6966967952204,0.0,6.250755201251349,0.0,93.80416057244081,0.0,15.593234115420094,0.0
67,478.5315884798455,0.0,4.721471142832918,0.0,86.79031742932565,0.0,12.196210077742418,0.0
68,363.21899734783995,0.0,3.4693489423631525,0.0,75.8183258345212,0.0,9.257268072842797,0.0
69,268.6313276538518,0.0,2.500151035687915,0.0,62.74776617692752,0.0,6.84653674783942,0.0
70,193.5864345759706,0.0,1.7669820092862063,0.0,49.19755434064513,0.0,4.933887085260028,0.0
71,135.9325122041351,0.0,1.22474487139159,0.0,36.543481825336634,0.0,3.4644765677924343,0.0
72,93.0040636712988,0.0,1.0,0.0,25.71564960868908,0.0,2.370370370370368,0.0
73,62.00270911419919,0.0,1.0,0.0,17.143766405792718,0.0,1.5802469135802453,0.0
74,41.33513940946612,0.0,1.0,0.0,11.429177603861811,0.0,1.05349794238683,0.0
75,27.55675960631075,0.0,1.0,0.0,7.619451735907874,0.0,1.0,0.0
76,19.34980397617291,64.0,1.0,16.000000000000004,5.107170383135342,6.666666666666665,1.0,7.9999999999999964
77,14.729987240650111,99.6,1.0,77.60000000000001,3.581793097268627,55.833333333333336,1.0,74.0
78,12.156415912552351,99.6,1.0,77.60000000000001,2.6283558737824673,55.833333333333336,1.0,74.0
79,10.87642348296525,99.6,1.0,77.60000000000001,2.0180474039335046,55.833333333333336,1.0,74.0
80,10.549795620440408,99.6,1.0,77.60000000000001,1.6212204889472832,55.833333333333336,1.0,74.0
81,11.093775227150136,99.6,1.0,77.60000000000001,1.3627504300298836,55.833333333333336,1.0,74.0
82,12.64713217085106,99.6,1.0,77.60000000000001,1.1985443134343239,55.833333333333336,1.0,74.0
83,15.630833283342026,99.6,1.0491780717282182,77.60000000000001,1.102948889107043,55.833333333333336,1.0213080274696762,74.0
84,20.94351554845838,99.6,1.1722703309662175,77.60000000000001,1.0619894524980857,55.833333333333336,1.1075797254884678,74.0
85,30.42246603068234,99.6,1.3948763324012117,77.60000000000001,1.0699131939336632,55.833333333333336,1.2754245006257914,74.0
86,45.48591587753829,99.6,1.7447695788145854,77.60000000000001,1.121740818240896,55.833333333333336,1.5494535443794382,74.0
87,67.4805355487779,90.0,2.165506557876677,68.0,1.1689478452134463,48.33333333333333,1.825977911683288,36.5
88,99.33427931980773,90.0,2.666858504296102,68.0,1.2107552954565262,48.33333333333333,2.0873997887812332,36.5
89,145.09044667975158,90.0,3.2588133921625704,68.0,1.246453985999282,48.33333333333333,2.3147756555300125,36.5
90,210.27979164444514,90.0,3.951282296895818,68.0,1.2754245006257918,48.33333333333333,2.490034319325726,36.5
91,302.39548751869233,90.0,4.753742714379512,68.0,1.2971550513956867,48.33333333333333,2.5983336340984837,36.5
92,428.0064333218162,80.0,5.493701192510727,28.000000000000004,1.3024252396942582,40.0,2.603606645487042,24.0
93,596.241924910504,80.0,6.098543731126725,28.000000000000004,1.2910334453937586,40.0,2.5052247970830237,24.0
94,817.5078777653559,80.0,6.5030785197330605,28.000000000000004,1.263414798113878,40.0,2.3147756555300134,24.0
95,1103.2110547478396,80.0,6.66106390706774,28.000000000000004,1.2206135939283207,40.0,2.0538181374136726,24.0
96,1391.1783334064426,16.000000000000004,6.469415276258397,12.0,1.1579407523858678,33.333333333333336,1.7385551721620889,16.000000000000004
97,1652.134875848767,16.000000000000004,6.004325642695478,12.0,1.0852048779840677,33.333333333333336,1.4474221962587124,16.000000000000004
98,1847.7647874127379,16.000000000000004,5.325265012296572,12.0,1.0047416323905247,33.333333333333336,1.1851743330890019,16.000000000000004
99,1946.1950683593798,16.000000000000004,4.513318597325887,12.0,1.0,33.333333333333336,1.0,16.000000000000004
100,1930.476603512144,16.000000000000004,3.65534638028829,12.0,1.0,33.333333333333336,1.0,16.000000000000004
